Include,,Category,Name,Link,Summary,StandardStatus,IEStatus,IEPrefixed,IEUnprefixed,MSDN,WebPlatDocs,Demo,ID,ChromeStatus,FFStatus,OperaStatus,SafariStatus
TRUE,,Graphics,requestAnimationFrame(),https://dvcs.w3.org/hg/webperf/raw-file/default/specs/RequestAnimationFrame/Overview.html,Offload animation repainting to browser for optimized performance. You should call this method whenever you're ready to update your animation onscreen. This will request that your animation function be called before the browser performs the next repaint.,Established standard,Shipped,,10,http://msdn.microsoft.com/library/ie/hh920765,http://docs.webplatform.org/wiki/dom/Window/requestAnimationFrame,,@5233400470306816,,,,
FALSE,,Misc,requestAutocomplete(),http://lists.whatwg.org/htdig.cgi/whatwg-whatwg.org/2012-October/037711.html,"Allows a form to be filled out on demand by the browser's autofill. Particularly for mobile applications, this solves the problem of working with long or even multi-page forms. For merchants, this results in improved conversion rates, sorely needed in mobile purchase scenarios.",Editor's draft,Not currently planned,,,,,,@5092662981951488,,,,
TRUE,,Performance,Resource Timing API,http://www.w3.org/TR/resource-timing/,Allows web applications to access timing information related to HTML elements.,Working draft or equivalent,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh772738(v=vs.85).aspx,http://docs.webplatform.org/wiki/apis/resource_timing,,@5796350423728128,,,,
FALSE,,Misc,Sending Messages to Extensions,,Expose a Chrome-specific API to allow websites to send messages to extensions. Only exposed to websites whitelisted by an installed extension.,No public standards discussion,Not currently planned,,,,,,@4670450516885504,,,,
TRUE,,Offline / Storage,Service Worker,https://github.com/slightlyoff/ServiceWorker/,ServiceWorkers (formerly Navigation Controllers) are a new system that provides event-driven scripts that run independent of web pages. They are similar to SharedWorkers except that their lifetime is different and they have access to domain-wide events such as network fetches.,Public discussion,Under Consideration,,,,,,@6561526227927040,,,,
TRUE,,JavaScript,Set,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,"Set objects let you store unique values of any type, whether primitive values or object references.",Editor's draft,Shipped,,11,http://msdn.microsoft.com/library/ie/dn263029,,,@4916191365693440,,,,
FALSE,,Web Components,Shadow DOM,https://dvcs.w3.org/hg/webcomponents/raw-file/tip/spec/shadow/index.html,"Enables DOM tree encapsulation. Without it, widgets may inadvertently break pages by using conflicting CSS selectors, class or id names, or JavaScript variables.",Working draft or equivalent,Under Consideration,,,,,,@5479141319114752,,,,
FALSE,,Misc,SrcN,http://tabatkins.github.io/specs/respimg/Overview.html,"SrcN is a responsive images solution which addresses all 3 major use-cases within a single syntax. It addresses DPR switching (like srcset), art-direction (like picture) and viewport dimensions based switching.",Editor's draft,Not currently planned,,,,,,@4582090154704896,,,,
TRUE,,File APIs,Streams API,https://dvcs.w3.org/hg/streams-api/raw-file/tip/Overview.htm,An API for representing binary data in web applications as a Stream object.,Working draft or equivalent,Prefixed,10,,http://msdn.microsoft.com/en-us/library/ie/hh772328(v=vs.85).aspx,,,@6605041225957376,,,,
TRUE,,Graphics,Subpixel font scaling,,Allow sub-css-pixel font-sizes and thus smooth font scaling.,De-facto standard,Shipped,,11,,,,@6259163214643200,,,,
